Radius,Thickness Factor
0,1.043
10,1.031
20,1.062
30,1.019
40,1.068
50,1.056
60,1.056
70,1.056
80,1.037
90,1.037
100,1.05
110,0.995
120,0.952
130,0.964
140,0.897
150,0.866
160,0.812
