Radius,Thickness Factor
0,98.5
10,102.7
20,103.4
30,104.4
40,106.5
50,110
60,117
70,118
80,111.4
90,108.2
100,96.7
110,92.2
120,77.9
130,75.4
140,77.9
150,47.3
160,38.7
