Target Number,Thickness Factor
1,0.79003674
2,0.87928647
3,0.9436714
4,0.98870194
5,1.0175202
6,1.0325241
7,1.0355684
8,1.0271895
9,1.0061219
10,0.970149
11,0.916775
12,0.84178764
13,0.8459684
14,0.9278917
15,0.98701507
16,1.0274999
17,1.0516818
18,1.0627942
19,1.0646497
20,1.0582001
21,1.0405409
22,1.0079165
23,0.95778376
24,0.8871473
25,0.8904516
26,0.96658057
27,1.0209329
28,1.055603
29,1.0722619
30,1.0769287
31,1.0772893
32,1.0750123
33,1.063949
34,1.0365977
35,0.9899811
36,0.92269605
37,0.9252552
38,0.99673545
39,1.0459548
40,1.0721914
41,1.0774806
42,1.0736512
43,1.0727514
44,1.0765603
45,1.0756837
46,1.0565672
47,1.0142905
48,0.9498277
49,0.9517322
50,1.0192021
51,1.0624449
52,1.0776143
53,1.0702986
54,1.0615002
55,1.0606928
56,1.0676506
57,1.0772883
58,1.0685483
59,1.0315124
60,0.9694408
61,0.9707554
62,1.0347716
63,1.0715772
64,1.0753044
65,1.0608032
66,1.0611442
67,1.0623115
68,1.0594195
69,1.07339
70,1.0743372
71,1.0424215
72,0.9822266
73,0.982996
74,1.0442412
75,1.0755045
76,1.0708086
77,1.0586065
78,1.0869524
79,1.0898566
80,1.0591418
81,1.0694045
82,1.0763831
83,1.047871
84,0.98861927
85,0.98887247
86,1.0484368
87,1.0766442
88,1.068368
89,1.0606955
90,1.1115937
91,1.1116276
92,1.0606955
93,1.068368
94,1.0766442
95,1.0484596
96,0.98887247
97,0.98861927
98,1.047848
99,1.0763838
100,1.0694045
101,1.0591437
102,1.0898371
103,1.0869703
104,1.0586077
105,1.0708086
106,1.0755062
107,1.0442649
108,0.982996
109,0.9822266
110,1.0423974
111,1.0743372
112,1.07339
113,1.0594195
114,1.0623074
115,1.0611476
116,1.0608032
117,1.0753044
118,1.0715772
119,1.0347967
120,0.9707554
121,0.9694408
122,1.0314867
123,1.0685545
124,1.0772883
125,1.0676428
126,1.0606943
127,1.0614984
128,1.0702909
129,1.0776143
130,1.0624542
131,1.0192293
132,0.9517322
133,0.9498277
134,1.0142627
135,1.0565672
136,1.0756837
137,1.0765603
138,1.0727528
139,1.0736498
140,1.0774806
141,1.0721914
142,1.0459548
143,0.99676436
144,0.9252552
145,0.92269605
146,0.9899516
147,1.0366156
148,1.063949
149,1.075019
150,1.077289
151,1.0769293
152,1.0722713
153,1.055603
154,1.0209546
155,0.96661156
156,0.8904516
157,0.8871473
158,0.95775235
159,1.0079165
160,1.0405409
161,1.0582001
162,1.0646477
163,1.0627965
164,1.0516818
165,1.0274999
166,0.98701507
167,0.9279249
168,0.8459684
169,0.84178764
170,0.91674143
171,0.9701801
172,1.0061219
173,1.0272169
174,1.0355655
175,1.0325269
176,1.0175495
177,0.98870194
178,0.9437069
179,0.879322
180,0.7900367
