Target Number,Radius
1,149.52121354510203
2,134.69571336906012
3,121.35582474689875
4,110.04422429187277
5,101.4611556212524
6,96.31946895617729
7,95.19458650574622
8,98.21778912193045
9,105.02269469024301
10,114.95575235715697
11,127.26523248711723
12,141.3556946146847
13,140.64696690650675
14,124.88759946447846
15,110.50779203296028
16,98.10962236192738
17,88.54880801004609
18,82.80483138078358
19,81.67205152314958
20,85.35694113544604
21,93.28154372650573
22,104.47816853295237
23,118.02484230025473
24,133.206923618857
25,132.57066040417843
26,115.8568793814161
27,100.34247405759936
28,86.6784056152396
29,75.88988997224862
30,69.3136941736624
31,68.19422262919345
32,72.77823438363974
33,82.10811470250671
34,94.80662265896828
35,109.6902406780111
36,126.00966827985859
37,125.4594277047365
38,107.78427529097183
39,91.07142361904748
40,75.95767834788002
41,63.611766993222254
42,55.89007246372115
43,54.766987319004514
44,60.633331592450034
45,71.7881222765995
46,86.19637231345644
47,102.49626773692786
48,119.9239125445797
49,119.47441106780984
50,100.91316068779136
51,83.01057884390399
52,66.31235857666353
53,52.00916169291714
54,42.56882074946403
55,41.46881840612293
56,49.2684168611089
57,62.725487642584326
58,79.00971206123965
59,96.68622756111648
60,115.13561047738445
61,114.80128440048047
62,95.4921761193031
63,76.52976218439464
64,58.26154821149195
65,41.62680146251931
66,29.521661538605855
67,28.44802277839358
68,39.341614100084904
69,55.55529497716665
70,73.6526286021076
71,92.53039824835943
72,111.80417389346428
73,111.59775087339351
74,91.78716522477421
75,72.06711108404443
76,52.557397195827726
77,33.636269115346316
78,17.337502703676797
79,16.420779518646487
80,32.23120537615681
81,51.06857448568541
82,70.55169523122743
83,90.25116342740408
84,110.06702185486803
85,109.99713632636079
86,90.00460877088462
87,70.00266423501323
88,50.00015299976591
89,29.998208279828983
90,10.00624804809476
91,9.996264302228097
92,29.99820827982897
93,50.000152999765895
94,70.00266423501321
95,89.99462483948693
96,109.99713632636077
97,110.06702185486805
98,90.26111898264945
99,70.55032955273845
100,51.068574485685424
101,32.227511539056195
102,16.42685910331004
103,17.331742555207754
104,33.63171865962249
105,52.55739719582771
106,72.0646723436664
107,91.77737520761856
108,111.5977508733935
109,111.8041738934643
110,92.54010860162202
111,73.65262860210761
112,55.55529497716667
113,39.341614100084904
114,28.451532471907367
115,29.51827908262946
116,41.6268014625193
117,58.26154821149193
118,76.52976218439464
119,95.48276598423404
120,114.80128440048045
121,115.13561047738445
122,96.69552057877345
123,79.0050485728602
124,62.72548764258433
125,49.26047705818529
126,41.47122616947804
127,42.566475071351626
128,52.00098652910345
129,66.31235857666351
130,83.00518357307571
131,100.90425610448747
132,119.47441106780983
133,119.92391254457971
134,102.50503402272494
135,86.19637231345644
136,71.7881222765995
137,60.63333159245004
138,54.76881046727234
139,55.88828589248378
140,63.611766993222254
141,75.95767834788
142,91.07142361904747
143,107.77593840927575
144,125.45942770473647
145,126.00966827985859
146,109.69843207630636
147,94.79986603366063
148,82.10811470250673
149,72.76912051138174
150,68.19568681375678
151,69.31225360641508
152,75.88070176270116
153,86.67840561523958
154,100.33529887332773
155,115.84912343216067
156,132.5706604041784
157,133.206923618857
158,118.03245528243492
159,104.47816853295237
160,93.28154372650573
161,85.35694113544605
162,81.67327408644765
163,82.80362552449016
164,88.54880801004606
165,98.10962236192738
166,110.50779203296027
167,124.88040438755793
168,140.64696690650672
169,141.3556946146847
170,127.2722927427647
171,114.94781294135177
172,105.02269469024303
173,98.20826543626559
174,95.19563540415075
175,96.31843229621214
176,101.45160126878235
177,110.04422429187275
178,121.3476497506235
179,134.68904224175031
180,149.521213545102
